edge_id,node_from,node_to
1257759191#8,11693513552,1784518729
1261703410,9870050280,11723727603
1261758410,6876979346,11724009119
1261758411#0,11724009121,6876979344
1261758411#1,6876979344,6876979343
1261758412#0,11724009120,6876979348
1261758412#1,6876979348,6876979346
1261758412#2,6876979346,11724009121
1261773479,11724088869,6876979348
1261785920,428785848,11723907792
1261792954,11724205432,6380078028
1261793601,11724216096,11724216097
1261804102,1829509097,11724256842
1261809359,4486328022,4486328023
1261809360,11724316149,4486328022
1261809361,11724316153,11724316154
1261810481,7079390825,11724322879
1261813989,429410609,11724322198
1262066638,11726476717,11726476723
1262066818#0,1830599714,1830599718
1262066818#1,1830599718,1830599742
1262066984,1830599718,11726511190
1262069152,9171367473,11726503313
1262069408#0,6380078004,6380078001
1262069408#1,6380078001,6380078003
166458245#0,428700286,1827200304
166458245#1,1827200304,1829509114
166458245#2,1829509114,1779260094
166458246#0,1779260095,1827200290
166458246#1,1827200290,1779066713
166463277,5293022546,1788445421
166463530,1779093927,5293049916
166479614,1779260096,3779275179
166481851#0,1779258563,3353748100
166481851#1,3353748100,436107020
166481851#2,436107020,10598349890
166481851#3,10598349890,10598349888
166481851#4,10598349888,1784574070
166481852#0,1779258550,3779275179
166481852#1,3779275179,1779258563
166481852#2,1779258563,1779258566
166481852#3,1779258566,1779258585
166481852#4,1779258585,1779258548
166481852#5,1779258548,1779258550
166481853,1779258566,1788441320
166481854,1788441283,1779258585
166482093#0,1779258550,3776249830
166482093#1,3776249830,1779085276
166482093#2,1779085276,1779260093
166482094#0,1779260093,1779260095
166482094#1,1779260095,1779260094
166482094#2,1779260094,1779260096
166482094#3,1779260096,1779260093
167045920#0,1784518715,1784518717
167045920#1,1784518717,1784518735
167045920#2,1784518735,1784518729
167045920#3,1784518729,1784518721
167045920#4,1784518721,1784518712
167045920#5,1784518712,1784518716
167045920#6,1784518716,1784518715
167045921#0,1784518716,1784574070
167045921#1,1784574070,10598349885
167045921#2,10598349885,6968257846
167045921#3,6968257846,436107022
167045921#4,436107022,3353748102
167045921#5,3353748102,1779260096
167045926#0,1784518721,1784518725
167045926#1,1784518725,1784529291
167046543#0,1784523551,1784523567
167046543#1,1784523567,1784523555
167046543#2,1784523555,1784523537
167046543#3,1784523537,1784523535
167046543#4,1784523535,6380078011
167046543#5,6380078011,1784523565
167046543#6,1784523565,11693513566
167046543#7,11693513566,1783433672
167046549,429229259,1784518735
167046551,1784518717,429229259
167046552#0,11693513547,1784523551
167046552#1,1784523551,11149436516
167046552#2,11149436516,10241696212
167046552#3,10241696212,440354123
167046552#4,440354123,4486345139
167046552#5,4486345139,436107055
167046552#6,436107055,1830597925
167046552#7,1830597925,1830591270
167046553#0,11693513560,1784523537
167046553#1,1784523537,440354136
167046553#2,440354136,436107051
167046553#3,436107051,1830599714
167046553#4,1830599714,1794354766
167046634#0,429229259,429229262
167046634#1,429229262,429229264
167046634#2,429229264,429229265
167046634#3,429229265,1830583503
167046634#4,1830583503,1830583500
167046634#5,1830583500,436107016
167046634#6,436107016,1794362279
167046966#0,1784529286,1784529293
167046966#1,1784529293,1784529287
167046966#2,1784529287,1784529282
167046966#3,1784529282,1784529286
167046967#0,1784529291,11699288393
167046967#1,11699288393,1784518734
